Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Centro;1;0;0;15;800.0;390.0;20.0
Higienópolis;1;0;0;48;800.0;230.0;0.0
Tijuca;1;0;0;48;750.0;772.0;25.0
Centro;1;0;0;27;750.0;371.0;19.0
Centro;1;1;0;37;1100.0;540.0;900.0
Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Engenho Novo;1;1;0;63;700.0;625.0;36.0
Maracanã;1;1;1;120;1000.0;985.0;150.0
Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0
Leme;1;0;0;31;1140.0;420.0;24.0
Grajaú;1;0;0;30;800.0;283.0;187.0
Botafogo;1;0;0;17;1100.0;330.0;15.0
Méier;1;0;0;53;900.0;484.0;37.0
Curicica;1;1;0;45;700.0;356.0;126.0
Méier;1;0;0;50;1000.0;390.0;16.0
Andaraí;1;0;1;30;1100.0;580.0;0.0
Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0
Centro;1;0;1;38;1150.0;400.0;25.0
Santa Teresa;1;0;0;21;800.0;312.0;15.0
Centro;1;0;0;35;1000.0;300.0;0.0
Campo Grande;1;1;0;46;650.0;250.0;0.0
Vila Isabel;1;1;1;50;1050.0;450.0;0.0
Fátima;1;0;0;50;1100.0;558.0;20.0
Higienópolis;1;0;0;55;750.0;120.0;0.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Santa Teresa;1;1;0;49;1150.0;570.0;28.0
Copacabana;1;0;0;35;1100.0;400.0;55.0
Tijuca;1;0;0;40;1100.0;350.0;50.0
Glória;1;0;0;34;1100.0;275.0;14.0
Higienópolis;1;0;1;45;800.0;120.0;31.0
Engenho Novo;1;0;0;37;600.0;414.0;16.0
Encantado;1;1;0;44;500.0;346.0;0.0
Barra da Tijuca;1;1;1;45;910.0;640.0;12.0
Centro;1;0;0;30;900.0;320.0;0.0
Centro;1;0;0;21;900.0;289.0;20.0
Praça da Bandeira;1;0;0;35;400.0;130.0;0.0
Rio Comprido;1;0;0;33;800.0;275.0;24.0
Praça Seca;1;1;1;70;600.0;481.0;17.0
São Cristóvão;1;0;0;56;850.0;450.0;15.0
Centro;1;0;0;38;900.0;223.0;15.0
Méier;1;0;0;47;700.0;435.0;162.0
Engenho Novo;1;1;1;51;850.0;509.0;17.0
Méier;1;0;0;55;850.0;340.0;16.0
Flamengo;1;0;1;26;1100.0;381.0;29.0
Santa Teresa;1;0;0;45;740.0;180.0;25.0
Tanque;1;1;1;64;900.0;470.0;15.0
Glória;1;0;1;48;1100.0;500.0;0.0
Centro;1;0;0;40;1000.0;510.0;21.0
Méier;1;1;0;55;900.0;250.0;17.0
Centro;1;0;0;55;850.0;350.0;35.0
Centro;1;0;0;28;900.0;446.0;24.0
Catete;1;0;0;27;1000.0;359.0;29.0
Engenho Novo;1;1;0;62;900.0;555.0;0.0
Tijuca;1;0;0;35;800.0;380.0;24.0
Cascadura;1;0;0;40;680.0;240.0;0.0
Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0
Flamengo;1;0;0;39;1100.0;580.0;20.0
Centro;1;0;0;35;950.0;340.0;24.0
Tijuca;1;1;0;47;1100.0;600.0;0.0
Madureira;1;0;0;55;700.0;200.0;0.0
Copacabana;1;0;0;55;1100.0;560.0;57.0
Laranjeiras;1;0;0;27;1100.0;680.0;29.0
Glória;1;0;0;50;950.0;570.0;67.0
Praça Seca;1;1;0;45;650.0;370.0;140.0
Higienópolis;1;0;1;37;900.0;308.0;0.0
Centro;1;0;0;34;1000.0;450.0;21.0
Tijuca;1;0;0;35;800.0;420.0;0.0
Freguesia (Jacarepaguá);1;1;0;50;1050.0;590.0;37.0
Centro;1;0;0;45;1100.0;400.0;0.0
Cidade Nova;1;0;0;37;800.0;214.0;14.0
Lapa;1;0;0;32;1100.0;380.0;0.0
Caju;1;0;1;45;850.0;230.0;0.0
Glória;1;0;1;40;1150.0;520.0;0.0
Centro;1;0;0;33;800.0;380.0;25.0
Praça Seca;1;1;0;48;450.0;275.0;0.0
Centro;1;0;0;42;1090.0;345.0;24.0
Glória;1;0;0;20;900.0;495.0;0.0
Recreio dos Bandeirantes;1;0;0;24;1000.0;364.0;0.0
Cachambi;1;0;1;39;850.0;320.0;0.0
Copacabana;1;0;0;33;1100.0;523.0;56.0
Sampaio;1;0;0;51;800.0;205.0;0.0
Freguesia (Jacarepaguá);1;1;0;49;1100.0;590.0;36.0
Marechal Hermes;1;0;0;50;800.0;280.0;0.0
Vila da Penha;1;0;0;45;1100.0;250.0;0.0
Bonsucesso;1;0;0;38;850.0;170.0;0.0
Cachambi;1;1;0;48;750.0;250.0;0.0
Maracanã;1;0;0;54;1000.0;450.0;20.0
Sampaio;1;0;0;51;800.0;205.0;0.0
Lins de Vasconcelos;1;1;0;60;800.0;460.0;250.0
Centro;1;0;1;40;950.0;350.0;24.0
Vila Isabel;1;1;0;66;1000.0;750.0;20.0
Centro;1;0;0;33;850.0;342.0;21.0
Copacabana;1;0;0;28;950.0;647.0;56.0
Praça Seca;1;0;0;47;500.0;10.0;0.0
Pechincha;1;1;0;61;1000.0;347.0;52.0
Freguesia (Jacarepaguá);1;1;0;41;750.0;357.0;16.0
Barra da Tijuca;1;1;1;42;1100.0;669.0;0.0
Vargem Pequena;1;1;1;70;1000.0;680.0;89.0
Catete;1;0;0;26;800.0;400.0;29.0
Freguesia (Jacarepaguá);1;1;0;32;900.0;263.0;15.0
Copacabana;1;0;0;31;1100.0;506.0;58.0
Madureira;1;0;0;45;550.0;198.0;0.0
Centro;1;0;0;15;800.0;305.0;20.0
Jacarepaguá;1;1;0;50;1100.0;480.0;14.0
Braz de Pina;1;1;0;45;720.0;80.0;0.0
Centro;1;0;0;30;1100.0;400.0;0.0
Riachuelo;1;1;0;45;900.0;557.0;16.0
Marechal Hermes;1;0;0;33;600.0;3.0;0.0
Rocha Miranda;1;0;0;45;500.0;80.0;0.0
Sampaio;1;1;0;60;1000.0;400.0;0.0
Moneró;1;0;0;50;1100.0;360.0;49.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Tijuca;1;0;0;40;1100.0;450.0;24.0
Maracanã;1;0;0;50;1100.0;492.0;20.0
Freguesia (Ilha do Governador);1;0;0;40;800.0;150.0;0.0
Recreio dos Bandeirantes;1;0;0;50;900.0;100.0;62.0
Oswaldo Cruz;1;1;0;50;650.0;227.0;0.0
Santa Teresa;1;0;0;35;800.0;400.0;0.0
Ilha do Governador;1;0;0;45;1000.0;355.0;20.0
Praça da Bandeira;1;0;0;30;800.0;355.0;25.0
Pechincha;1;0;0;60;1100.0;347.0;55.0
Cachambi;1;0;0;40;800.0;150.0;0.0
Glória;1;0;0;30;1100.0;361.0;24.0
Cachambi;1;1;0;45;700.0;210.0;0.0
Méier;1;0;0;40;1100.0;500.0;13.0
Penha;1;0;0;50;900.0;250.0;0.0
Andaraí;1;0;0;40;1000.0;340.0;190.0
Todos os Santos;1;1;1;48;1000.0;490.0;0.0
Engenho de Dentro;1;0;0;30;300.0;50.0;0.0
Jacarepaguá;1;0;0;30;550.0;18.0;8.0
Copacabana;1;0;0;28;1100.0;450.0;54.0
Centro;1;0;0;30;800.0;400.0;0.0
Praça da Bandeira;1;0;0;39;900.0;437.0;0.0
Santa Teresa;1;0;0;49;660.0;235.0;14.0
Centro;1;0;0;25;1000.0;321.0;24.0
Rocha Miranda;1;1;0;35;699.0;99.0;0.0
Pechincha;1;1;0;46;800.0;585.0;0.0
Centro;1;0;0;20;1000.0;216.0;21.0
Praça da Bandeira;1;0;0;35;1090.0;450.0;25.0
Ramos;1;0;0;45;600.0;240.0;0.0
Tijuca;1;0;0;33;1000.0;515.0;14.0
Campo Grande;1;1;0;40;500.0;182.0;0.0
Centro;1;0;0;55;950.0;433.0;47.0
Centro;1;0;0;34;800.0;424.0;25.0
Campo Grande;1;1;0;50;500.0;180.0;0.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Cachambi;1;1;0;35;800.0;407.0;0.0
Freguesia (Jacarepaguá);1;1;0;55;900.0;395.0;88.0
Catete;1;0;1;34;1000.0;400.0;53.0
Lapa;1;0;0;30;1100.0;420.0;0.0
Centro;1;0;0;30;1000.0;394.0;20.0
Vila Isabel;1;0;0;36;1050.0;385.0;0.0
Olaria;1;1;0;60;860.0;555.0;80.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;0.0
Engenho Novo;1;1;0;62;650.0;612.0;0.0
Marechal Hermes;1;0;0;50;800.0;200.0;0.0
Praça Seca;1;1;0;37;500.0;322.0;0.0
Andaraí;1;0;0;42;900.0;447.0;20.0
Centro;1;0;0;43;1000.0;400.0;18.0
Lins de Vasconcelos;1;1;1;98;800.0;913.0;82.0
Méier;1;1;0;40;900.0;657.0;0.0
Botafogo;1;0;0;19;980.0;481.0;29.0
Vila Isabel;1;0;0;50;1000.0;400.0;0.0
Centro;1;0;0;32;1000.0;450.0;30.0
Praça Seca;1;1;0;41;800.0;320.0;20.0
Jacarepaguá;1;0;0;53;1000.0;363.0;13.0
Centro;1;0;0;41;800.0;384.0;17.0
Jacarepaguá;1;0;0;37;1100.0;308.0;16.0
Andaraí;1;1;0;50;1000.0;464.0;25.0
Anil;1;0;0;30;550.0;13.0;8.0
Vila da Penha;1;0;0;48;750.0;245.0;0.0
Méier;1;1;0;42;900.0;405.0;17.0
Centro;1;0;0;33;750.0;486.0;25.0
Méier;1;1;0;45;800.0;200.0;50.0
Glória;1;0;0;43;1000.0;503.0;15.0
Pechincha;1;0;0;46;800.0;545.0;14.0
Barra da Tijuca;1;1;0;42;800.0;758.0;0.0
Vila Isabel;1;0;0;41;1100.0;390.0;24.0
Botafogo;1;0;0;23;850.0;581.0;30.0
Catete;1;0;0;42;1000.0;530.0;0.0
Santa Teresa;1;0;0;25;850.0;370.0;14.0
Copacabana;1;0;0;41;900.0;700.0;0.0
Cachambi;1;1;0;54;900.0;500.0;39.0
Barra da Tijuca;1;1;0;42;850.0;762.0;40.0
Tijuca;1;1;0;50;1100.0;567.0;20.0
Centro;1;0;0;46;850.0;550.0;45.0
Encantado;1;1;0;45;900.0;496.0;0.0
Botafogo;1;0;0;26;1100.0;270.0;0.0
Marechal Hermes;1;1;0;48;600.0;155.0;0.0
Tijuca;1;0;1;40;1100.0;390.0;25.0
Vila Isabel;1;0;0;30;1100.0;385.0;21.0
Méier;1;0;0;60;900.0;582.0;20.0
Vila Isabel;1;0;0;30;1100.0;400.0;0.0
Vila Isabel;1;0;0;60;800.0;303.0;25.0
Santa Teresa;1;0;0;27;900.0;340.0;0.0
Glória;1;0;0;30;1000.0;500.0;20.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;0.0
Freguesia (Jacarepaguá);1;1;0;60;950.0;583.0;140.0
Engenho Novo;1;0;1;40;500.0;456.0;36.0
Freguesia (Jacarepaguá);1;1;0;48;1000.0;450.0;0.0
Praça da Bandeira;1;0;0;22;800.0;130.0;25.0
Botafogo;1;0;0;24;1000.0;500.0;30.0
Barra da Tijuca;1;1;1;44;1000.0;790.0;15.0
Centro;1;0;0;40;1000.0;383.0;25.0
Riachuelo;1;0;1;40;1100.0;229.0;0.0
Copacabana;1;0;0;30;1000.0;600.0;56.0
Catumbi;1;0;0;40;1000.0;146.0;0.0
Freguesia (Jacarepaguá);1;1;0;56;700.0;770.0;18.0
Copacabana;1;0;0;28;1000.0;350.0;0.0
Tanque;1;0;0;75;1100.0;625.0;14.0
Vila da Penha;1;0;0;42;600.0;210.0;0.0
Centro;1;0;0;27;600.0;420.0;89.0
Méier;1;0;0;40;600.0;250.0;13.0
Vaz Lobo;1;0;0;60;600.0;92.0;33.0
Jardim Guanabara;1;1;0;35;1000.0;171.0;25.0
Riachuelo;1;1;0;46;950.0;550.0;16.0
Méier;1;1;0;40;900.0;456.0;20.0
Campinho;1;0;0;35;700.0;66.0;0.0
Centro;1;0;0;33;1150.0;370.0;20.0
Centro;1;0;0;35;1000.0;335.0;25.0
Copacabana;1;0;0;35;1130.0;500.0;0.0
Penha;1;1;0;60;850.0;314.0;0.0
São Francisco Xavier;1;0;0;51;700.0;505.0;0.0
Tijuca;1;1;0;60;900.0;556.0;24.0
Cachambi;1;0;0;40;800.0;130.0;14.0
Praça Seca;1;0;0;60;750.0;30.0;0.0
Tijuca;1;0;0;40;1100.0;500.0;20.0
Quintino Bocaiúva;1;1;0;39;600.0;354.0;0.0
Lins de Vasconcelos;1;1;0;62;900.0;500.0;0.0
Flamengo;1;1;0;35;1000.0;490.0;0.0
Flamengo;1;0;0;36;1000.0;495.0;55.0
Vila Isabel;1;0;0;45;1000.0;350.0;20.0
Campo Grande;1;1;0;55;750.0;517.0;0.0
Copacabana;1;0;0;31;1100.0;397.0;67.0
Engenho Novo;1;0;0;46;1100.0;500.0;0.0
Laranjeiras;1;0;0;24;900.0;415.0;29.0
Taquara;1;1;0;55;700.0;406.0;0.0
Todos os Santos;1;0;0;70;800.0;656.0;39.0
Tijuca;1;1;0;35;900.0;335.0;20.0
Copacabana;1;0;0;36;1100.0;805.0;70.0
Tijuca;1;1;1;40;1000.0;594.0;0.0
Tijuca;1;0;0;58;1100.0;408.0;0.0
Vila da Penha;1;0;0;37;700.0;50.0;0.0
Tanque;1;0;0;45;750.0;75.0;0.0
Tijuca;1;0;1;33;900.0;460.0;25.0
Centro;1;0;0;35;900.0;517.0;25.0
Quintino Bocaiúva;1;0;0;50;1100.0;145.0;0.0
Madureira;1;0;0;50;750.0;200.0;0.0
Centro;1;0;0;26;750.0;400.0;0.0
Glória;1;0;0;47;1150.0;500.0;25.0
Méier;1;0;0;35;1100.0;200.0;35.0
Tauá;1;0;0;40;1150.0;80.0;20.0
Cachambi;1;0;0;35;600.0;274.0;22.0
Flamengo;1;0;0;27;1000.0;366.0;25.0
Catete;1;0;0;44;950.0;300.0;29.0
Campo Grande;1;1;0;41;600.0;195.0;0.0
Praça da Bandeira;1;0;0;36;1100.0;350.0;130.0
Ribeira;1;1;0;58;1100.0;565.0;500.0
Cachambi;1;0;0;36;600.0;407.0;0.0
Barra da Tijuca;1;1;0;42;1000.0;740.0;0.0
Engenho de Dentro;1;1;0;50;800.0;250.0;0.0
Grajaú;1;0;0;40;1000.0;460.0;25.0
Méier;1;1;0;55;800.0;400.0;17.0
Grajaú;1;1;0;58;1100.0;670.0;360.0
Vila Isabel;1;0;0;35;1100.0;455.0;0.0
Praça Seca;1;1;0;46;700.0;300.0;107.0
Jardim Guanabara;1;1;0;44;1100.0;230.0;48.0
Cachambi;1;1;0;64;900.0;600.0;0.0
Tijuca;1;0;0;40;900.0;640.0;21.0
Praça da Bandeira;1;0;0;30;900.0;310.0;0.0
Campo Grande;1;0;0;65;650.0;110.0;0.0
Méier;1;1;0;87;1100.0;411.0;0.0
Grajaú;1;1;0;50;1100.0;500.0;0.0
Centro;1;0;0;40;1100.0;707.0;70.0
Catete;1;0;0;29;1100.0;320.0;25.0
São Cristóvão;1;0;0;55;900.0;450.0;0.0
Centro;1;0;0;40;1050.0;340.0;0.0
Cascadura;1;0;0;54;760.0;80.0;0.0
Tijuca;1;0;0;45;1000.0;440.0;0.0
Centro;1;0;0;34;1000.0;454.0;25.0
Vila Isabel;1;1;0;30;1100.0;620.0;0.0
Tijuca;1;0;0;40;1100.0;534.0;25.0
Anil;1;1;0;40;1100.0;320.0;13.0
Centro;1;0;0;35;1100.0;340.0;20.0
Lins de Vasconcelos;1;1;0;44;800.0;435.0;14.0
Engenho Novo;1;0;0;45;800.0;460.0;0.0
Centro;1;0;0;25;850.0;223.0;24.0
Jardim Guanabara;1;1;0;30;1000.0;450.0;24.0
Freguesia (Jacarepaguá);1;1;0;55;900.0;690.0;40.0
Guadalupe;1;1;1;45;800.0;250.0;0.0
Centro;1;0;0;32;900.0;342.0;24.0
Copacabana;1;0;0;21;1100.0;405.0;0.0
Flamengo;1;0;0;23;800.0;480.0;29.0
Campo Grande;1;1;0;48;650.0;250.0;12.0
Centro;1;0;0;28;900.0;370.0;20.0
Centro;1;0;0;37;940.0;385.0;24.0
Freguesia (Jacarepaguá);1;1;0;45;1100.0;485.0;36.0
Tijuca;1;0;0;35;1000.0;300.0;50.0
Cascadura;1;0;0;45;650.0;250.0;0.0
Centro;1;0;0;34;850.0;410.0;24.0
Vila Isabel;1;1;1;52;1000.0;750.0;25.0
Andaraí;1;0;0;60;1100.0;150.0;20.0
Quintino Bocaiúva;1;0;0;40;700.0;66.0;0.0
Centro;1;0;0;38;900.0;355.0;21.0
Olaria;1;0;0;56;780.0;318.0;0.0
Laranjeiras;1;0;0;25;900.0;450.0;30.0
Olaria;1;0;0;55;850.0;40.0;0.0
Botafogo;1;0;0;22;830.0;599.0;29.0
Cacuia;1;0;0;37;800.0;200.0;24.0
Vila Isabel;1;0;0;36;1000.0;480.0;20.0
Campinho;1;0;1;35;660.0;66.0;0.0
Méier;1;0;0;67;800.0;430.0;0.0
Copacabana;1;0;0;20;1100.0;400.0;0.0
Freguesia (Jacarepaguá);1;1;0;49;950.0;430.0;35.0
Estácio;1;1;1;32;1000.0;410.0;21.0
Flamengo;1;0;0;18;1000.0;373.0;29.0
Méier;1;0;0;40;700.0;355.0;17.0
Pechincha;1;1;0;50;600.0;500.0;20.0
Centro;1;0;0;48;800.0;80.0;0.0
Engenho Novo;1;1;0;45;590.0;270.0;16.0
Barra da Tijuca;1;1;0;42;950.0;650.0;15.0
Barra da Tijuca;1;1;1;45;1070.0;644.0;37.0
Méier;1;0;0;33;700.0;315.0;14.0
Tauá;1;0;0;50;870.0;150.0;0.0
Tijuca;1;0;0;43;1100.0;210.0;0.0
Quintino Bocaiúva;1;1;0;35;650.0;314.0;0.0
São Cristóvão;1;1;0;60;1100.0;400.0;11.0
Lins de Vasconcelos;1;1;0;42;1050.0;504.0;16.0
Rio Comprido;1;1;0;99;1000.0;777.0;68.0
Leme;1;0;0;26;1100.0;605.0;26.0
São Cristóvão;1;0;0;41;1000.0;130.0;0.0
Higienópolis;1;0;0;45;700.0;130.0;0.0
Tijuca;1;0;0;24;1000.0;400.0;0.0
Centro;1;0;0;36;900.0;230.0;20.0
Centro;1;0;0;35;950.0;425.0;25.0
Engenho Novo;1;1;0;51;800.0;532.0;16.0
Centro;1;0;0;35;1150.0;430.0;180.0
Andaraí;1;0;0;48;1050.0;195.0;20.0
Piedade;1;1;0;40;650.0;305.0;16.0
Centro;1;0;0;34;900.0;400.0;0.0
Freguesia (Jacarepaguá);1;1;0;67;1000.0;470.0;16.0
Jacarepaguá;1;1;0;55;900.0;480.0;40.0
Cachambi;1;1;0;45;700.0;210.0;0.0
Centro;1;0;0;20;800.0;338.0;20.0
São Cristóvão;1;0;0;45;700.0;270.0;20.0
Curicica;1;0;0;45;950.0;150.0;0.0
Centro;1;0;0;30;900.0;415.0;23.0
Centro;1;1;0;46;1100.0;560.0;490.0
Copacabana;1;0;0;56;1100.0;920.0;0.0
Catete;1;0;0;22;900.0;446.0;0.0
Santo Cristo;1;1;0;27;800.0;120.0;0.0
Jacarepaguá;1;0;0;30;700.0;112.0;0.0
Quintino Bocaiúva;1;0;0;60;700.0;270.0;0.0
Tijuca;1;0;0;45;1150.0;458.0;46.0
Glória;1;0;0;35;1150.0;350.0;25.0
Centro;1;0;0;47;950.0;250.0;0.0
Praça Seca;1;1;0;56;900.0;240.0;125.0
Centro;1;0;0;30;800.0;280.0;24.0
Centro;1;0;0;25;1000.0;280.0;0.0
Vicente de Carvalho;1;0;0;40;610.0;95.0;0.0
Centro;1;0;0;21;750.0;269.0;24.0
Estácio;1;1;0;36;750.0;342.0;0.0
Grajaú;1;1;0;50;1100.0;500.0;25.0
Méier;1;0;0;33;890.0;250.0;13.0
Jardim Sulacap;1;1;0;45;850.0;70.0;0.0
Vila Isabel;1;0;0;50;1000.0;325.0;34.0
Glória;1;0;0;30;1100.0;348.0;13.0
Centro;1;0;0;40;1000.0;438.0;21.0
Vila Isabel;1;0;0;36;1050.0;385.0;0.0
Copacabana;1;0;0;35;1000.0;410.0;57.0
Centro;1;0;0;45;1000.0;350.0;23.0
Flamengo;1;0;0;15;900.0;401.0;23.0
Tijuca;1;1;0;60;1050.0;695.0;20.0
Méier;1;0;0;32;900.0;180.0;0.0
Madureira;1;1;0;50;650.0;450.0;0.0
Barra da Tijuca;1;0;0;38;1000.0;410.0;15.0
Bonsucesso;1;0;0;62;800.0;270.0;0.0
Vila Isabel;1;0;1;45;1100.0;500.0;24.0
Riachuelo;1;0;0;53;1000.0;217.0;0.0
Engenho Novo;1;1;0;40;1150.0;310.0;0.0
Centro;1;0;0;38;1000.0;335.0;175.0
Praça Seca;1;1;0;40;1000.0;270.0;0.0
Tijuca;1;1;0;40;1100.0;500.0;20.0
Centro;1;0;0;20;800.0;430.0;38.0
Santa Teresa;1;0;0;25;750.0;400.0;0.0
Jacarepaguá;1;1;0;56;600.0;692.0;0.0
Tijuca;1;0;0;30;1000.0;420.0;21.0
Campo Grande;1;1;0;40;500.0;200.0;0.0
Catete;1;0;0;24;1100.0;435.0;225.0
Riachuelo;1;0;0;46;900.0;253.0;17.0
Flamengo;1;0;0;31;1000.0;394.0;24.0
Moneró;1;0;0;55;1000.0;350.0;18.0
Centro;1;0;0;31;850.0;560.0;115.0
Centro;1;0;0;41;1100.0;390.0;24.0
Senador Vasconcelos;1;1;1;40;850.0;180.0;0.0
Madureira;1;1;0;60;650.0;220.0;0.0
Vila da Penha;1;1;0;48;1100.0;150.0;0.0
Centro;1;0;0;34;1000.0;600.0;129.0
Centro;1;0;0;38;800.0;383.0;0.0
Copacabana;1;0;0;19;1100.0;488.0;30.0
Pechincha;1;1;0;54;850.0;347.0;14.0
Bonsucesso;1;1;0;50;950.0;170.0;26.0
Méier;1;0;0;47;900.0;320.0;16.0
Copacabana;1;0;0;40;1100.0;800.0;100.0
Vila Isabel;1;0;0;50;800.0;176.0;24.0
Flamengo;1;0;0;28;900.0;380.0;29.0
Engenho Novo;1;0;0;40;850.0;381.0;0.0
Tijuca;1;0;0;57;1000.0;517.0;0.0
Botafogo;1;0;0;40;700.0;150.0;0.0
Engenho de Dentro;1;0;0;45;600.0;200.0;0.0
Pechincha;1;1;0;46;1100.0;300.0;0.0
Vila Isabel;1;1;0;60;1000.0;500.0;0.0
Taquara;1;1;1;50;600.0;367.0;16.0
Méier;1;1;0;33;900.0;550.0;12.0
Engenho Novo;1;1;0;58;1000.0;580.0;17.0
Recreio dos Bandeirantes;1;0;0;30;900.0;35.0;9.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;0.0
Pavuna;1;1;0;40;400.0;220.0;0.0
Cocotá;1;0;0;37;700.0;200.0;20.0
Cacuia;1;1;0;42;1050.0;330.0;0.0
Centro;1;0;0;22;1000.0;420.0;24.0
Jacarepaguá;1;1;0;55;1100.0;580.0;0.0
Irajá;1;0;0;55;850.0;110.0;0.0
Santa Teresa;1;0;0;31;1000.0;330.0;15.0
Cacuia;1;1;0;37;900.0;214.0;0.0
São Francisco Xavier;1;0;0;76;800.0;415.0;14.0
Andaraí;1;1;0;60;1000.0;230.0;23.0
Centro;1;0;0;34;1100.0;313.0;25.0
Penha Circular;1;0;0;50;650.0;120.0;0.0
Laranjeiras;1;0;0;26;800.0;458.0;29.0
São Cristóvão;1;1;0;36;1000.0;280.0;136.0
Pechincha;1;1;0;52;850.0;585.0;36.0
Centro;1;0;0;22;1050.0;280.0;24.0
Fátima;1;0;0;25;800.0;300.0;20.0
Jardim Guanabara;1;0;0;39;1100.0;250.0;25.0
Centro;1;0;0;40;900.0;400.0;21.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Centro;1;0;0;21;830.0;355.0;24.0
Oswaldo Cruz;1;1;0;50;1000.0;150.0;0.0
Glória;1;0;0;30;800.0;495.0;0.0
Copacabana;1;0;0;32;1100.0;561.0;29.0
Copacabana;1;0;0;29;790.0;480.0;95.0
Centro;1;0;0;25;1100.0;316.0;24.0
Centro;1;0;0;27;1000.0;420.0;0.0
Tijuca;1;0;0;37;1000.0;462.0;0.0
Laranjeiras;1;0;0;30;1000.0;70.0;29.0
Lapa;1;0;0;35;1100.0;300.0;25.0
Tauá;1;1;0;50;1000.0;424.0;0.0
Méier;1;0;0;41;850.0;430.0;14.0
Irajá;1;0;0;48;850.0;120.0;0.0
Vila da Penha;1;1;0;65;1000.0;369.0;0.0
Centro;1;0;0;40;1000.0;400.0;0.0
Méier;1;0;0;60;900.0;283.0;17.0
Vila Isabel;1;0;0;50;850.0;369.0;24.0
Del Castilho;1;1;0;55;800.0;350.0;0.0
Abolição;1;0;0;42;800.0;260.0;16.0
Centro;1;0;0;24;750.0;322.0;21.0
Barra da Tijuca;1;1;1;65;1000.0;2650.0;180.0
Glória;1;0;0;39;900.0;246.0;0.0
Tijuca;1;0;0;50;1100.0;350.0;21.0
Taquara;1;1;0;49;800.0;465.0;35.0
Tijuca;1;0;0;48;1000.0;650.0;47.0
Madureira;1;0;0;55;700.0;200.0;0.0
Copacabana;1;0;0;38;1150.0;780.0;0.0
Centro;1;0;0;35;1000.0;500.0;24.0
Copacabana;1;0;0;40;950.0;579.0;67.0
Vila da Penha;1;0;0;64;700.0;200.0;0.0
Riachuelo;1;1;0;55;1000.0;500.0;0.0
Engenho Novo;1;1;0;54;1000.0;450.0;34.0
Centro;1;0;0;34;800.0;330.0;18.0
Centro;1;0;0;20;900.0;238.0;10.0
Centro;1;0;0;42;1100.0;410.0;0.0
Centro;1;0;0;27;1100.0;370.0;0.0
Vila Isabel;1;1;0;40;1000.0;400.0;24.0
Andaraí;1;1;0;60;1000.0;400.0;21.0
Vila Isabel;1;0;0;50;1100.0;450.0;20.0
Copacabana;1;0;0;27;1000.0;655.0;55.0
Catete;1;0;0;45;1100.0;327.0;54.0
Lins de Vasconcelos;1;0;0;35;500.0;360.0;15.0
Centro;1;0;0;31;1000.0;400.0;20.0
Estácio;1;1;1;32;1000.0;409.0;14.0
Pechincha;1;1;1;40;850.0;442.0;15.0
Ramos;1;1;0;47;750.0;470.0;0.0
Centro;1;0;0;40;1000.0;300.0;20.0
Vaz Lobo;1;1;0;39;600.0;175.0;0.0
Pechincha;1;1;0;45;780.0;370.0;30.0
Sampaio;1;0;0;36;650.0;293.0;14.0
Pechincha;1;1;0;68;1150.0;554.0;13.0
Cachambi;1;1;0;36;600.0;407.0;0.0
Praça da Bandeira;1;0;0;40;900.0;435.0;0.0
Flamengo;1;0;0;45;1100.0;514.0;67.0
Cachambi;1;0;0;30;600.0;100.0;13.0
Grajaú;1;1;0;56;1100.0;580.0;420.0
Grajaú;1;0;1;37;1000.0;200.0;0.0
Pechincha;1;0;1;69;900.0;640.0;126.0
Glória;1;0;0;46;1100.0;453.0;32.0
Botafogo;1;0;0;21;1000.0;282.0;25.0
Tijuca;1;0;0;28;1000.0;360.0;25.0
